key,population,race_total,black_total,race_hispanic_total,white_alone,hispanic_total,percent_bachelors,median_income,percent_black,percent_white,percent_hispanic
02180,10018,10018,103,10018,1391,201,0.183,70121,0.010281493312038332,0.1388500698742264,0.02006388500698742
02185,10924,10924,193,10924,3417,428,0.142,83472,0.01766752105455877,0.31279751006957157,0.039179787623581104
02188,7682,7682,95,7682,737,196,0.152,77647,0.012366571205415256,0.09593855766727415,0.02551418901327779
02195,3374,3374,39,3374,1842,306,0.248,77826,0.011558980438648489,0.5459395376407824,0.0906935388263189
02198,5799,5799,22,5799,2536,236,0.19399999999999998,61779,0.0037937575444042075,0.4373167787549577,0.04069667183997241
02220,8462,8462,58,8462,5068,626,0.342,95261,0.0068541715906405105,0.5989127865752777,0.07397778303001655
02230,1303,1303,40,1303,997,32,0.278,79583,0.03069838833461243,0.7651573292402148,0.024558710667689946
02240,6888,6888,61,6888,4945,491,0.198,75378,0.008855981416957027,0.7179152148664344,0.07128339140534262
02275,2134,2134,1,2134,1187,123,0.18,61000,0.00046860356138706655,0.556232427366448,0.057638238050609185
02282,564,564,12,564,173,37,0.10800000000000001,76875,0.02127659574468085,0.3067375886524823,0.06560283687943262
02290,5355,5355,10,5355,1165,143,0.141,47826,0.0018674136321195146,0.21755368814192344,0.026704014939309056
04001,66054,66054,585,66054,12006,4634,0.138,37483,0.008856390226178582,0.18176037787264965,0.07015472189420777
04003,125504,125504,5001,125504,67368,44809,0.267,58421,0.03984733554309026,0.5367797042325344,0.3570324451810301
04005,144705,144705,2212,144705,76644,21314,0.396,67266,0.01528627207076466,0.529656888151757,0.14729276804533362
04007,53419,53419,389,53419,32681,10276,0.18100000000000002,55242,0.0072820532020442166,0.6117860686272675,0.1923660120930755
04009,38453,38453,759,38453,19395,12885,0.14,64089,0.019738381920786415,0.5043819727979612,0.335084388734299
04011,9483,9483,171,9483,4243,4577,0.16699999999999998,73756,0.018032268269534957,0.4474322471791627,0.48265316882842985
04012,16681,16681,94,16681,9358,4699,0.124,46634,0.005635153767759727,0.5609975421137822,0.28169773994364844
04013,4430871,4430871,252690,4430871,2359261,1402753,0.35,80675,0.05702941927219276,0.532459870756788,0.3165862874364882
04015,214229,214229,2422,214229,161721,37218,0.14400000000000002,53592,0.011305658897721596,0.7548977962834164,0.17372998053484823
04017,107110,107110,1194,107110,44883,12728,0.17300000000000001,50335,0.011147418541686117,0.4190365045280553,0.11883110820651667
04019,1042393,1042393,36039,1042393,521766,397081,0.35,64323,0.03457333270657036,0.5005463390487082,0.38093214363488626
04021,433338,433338,19867,433338,237577,135346,0.214,73313,0.0458464293461455,0.5482487111677259,0.312333559484744
04023,47838,47838,142,47838,7201,39732,0.235,51885,0.0029683515197123627,0.1505288682637234,0.8305531167690957
04025,237830,237830,1543,237830,187377,36080,0.287,62430,0.006487827439767902,0.7878610772400454,0.1517049993692974
04027,204374,204374,3969,204374,59640,133381,0.16399999999999998,56439,0.019420278509007995,0.2918179416168397,0.652631939483496
05001,17024,17024,4379,17024,11613,649,0.158,58695,0.2572250939849624,0.6821546052631579,0.03812265037593985
05003,19018,19018,4725,19018,12850,1164,0.11599999999999999,44804,0.24844883794300138,0.6756756756756757,0.06120517404564097
05005,41801,41801,100,41801,38471,1118,0.182,47403,0.002392287265854884,0.9203368340470324,0.026745771632257602
05007,286528,286528,5374,286528,185091,49721,0.355,85269,0.018755584096493187,0.6459787525128434,0.17352928858610678
05009,37662,37662,123,37662,35027,1089,0.166,52275,0.0032658913493707185,0.9300355796293346,0.02891508682491636
05011,10461,10461,2722,10461,5703,1674,0.125,43688,0.2602045693528343,0.5451677659879552,0.16002294235732722
05013,4773,4773,994,4773,3410,233,0.125,60237,0.20825476639430127,0.7144353655981563,0.0488162581185837
05015,28362,28362,103,28362,20772,4417,0.214,56826,0.0036316197729356183,0.7323884070234821,0.1557365489034624
05017,10234,10234,5483,10234,3953,628,0.17600000000000002,36593,0.5357631424662889,0.3862614813367207,0.0613640805159273
05019,21469,21469,5157,21469,14508,1092,0.264,48071,0.24020680981880851,0.6757650565932275,0.05086403651776981
05021,14537,14537,98,14537,13682,116,0.154,44685,0.006741418449473757,0.9411845635275504,0.007979638164683223
05023,24948,24948,96,24948,23058,681,0.172,52780,0.003848003848003848,0.9242424242424242,0.0272967772967773
05025,7548,7548,992,7548,6339,0,0.159,48913,0.13142554319024907,0.839825119236884,0.0
05027,22707,22707,8082,22707,13413,681,0.19,47441,0.3559254855330955,0.5906989034218523,0.0299907517505615
05029,20782,20782,2290,20782,16724,910,0.191,50282,0.11019151188528534,0.8047348667115773,0.04378789336926186
05031,111038,111038,18035,111038,81107,6074,0.282,55169,0.1624218735928241,0.7304436319097967,0.05470199391199409
05033,60593,60593,771,60593,49452,5155,0.203,56702,0.012724242074166984,0.8161338768504612,0.085075833842193
05035,47945,47945,24005,47945,19282,1424,0.17600000000000002,51860,0.5006778600479717,0.40216915215350924,0.029700698717280215
05037,16827,16827,3286,16827,12140,359,0.161,48129,0.1952813929993463,0.7214595590420159,0.021334759612527485
05039,6472,6472,2856,6472,3356,82,0.13,40085,0.44128553770086526,0.5185414091470952,0.012669962917181705
05041,11285,11285,5376,11285,4922,762,0.131,38067,0.4763845813026141,0.4361541869738591,0.06752326096588392
05043,17309,17309,4654,17309,11259,698,0.25,44968,0.2688774625917153,0.6504708533133052,0.04032584204748974
05045,124611,124611,14230,124611,98354,5488,0.325,61273,0.11419537601014357,0.7892882650809319,0.04404105576554237
05047,17160,17160,96,17160,15156,620,0.12300000000000001,47695,0.005594405594405594,0.8832167832167832,0.03613053613053613
05049,12183,12183,23,12183,11317,70,0.14400000000000002,38917,0.0018878765492899943,0.9289173438397768,0.005745711236969548
05051,100021,100021,7924,100021,80802,6204,0.252,54229,0.07922336309375032,0.8078503514262005,0.06202697433538957
05053,18022,18022,464,18022,16436,578,0.188,68598,0.02574631006547553,0.9119964487848186,0.03207191210742426
05055,45954,45954,1144,45954,41596,1433,0.166,54879,0.024894459677068374,0.9051660356008182,0.03118335727031379
05057,20037,20037,6206,20037,10674,2722,0.158,45049,0.30972700504067474,0.5327144782153017,0.13584867994210711
05059,33129,33129,3803,33129,27088,1249,0.155,50260,0.11479368529083281,0.8176522080352561,0.03770110779075734
05061,12779,12779,2770,12779,7999,1708,0.15,44824,0.21676187495109164,0.6259488222865639,0.13365678065576336
05063,37910,37910,727,37910,32196,2696,0.171,52361,0.019176998153521498,0.8492745977314693,0.07111580058032181
05065,13748,13748,249,13748,12069,370,0.18899999999999997,46159,0.018111725341867908,0.8778731451847541,0.02691300552807681
05067,16784,16784,2041,16784,12735,534,0.11900000000000001,41929,0.12160390848427073,0.758758341277407,0.031816015252621545
05069,66934,66934,37460,66934,25322,1590,0.20199999999999999,46855,0.5596557803209131,0.37831296501030864,0.02375474347865061
05071,25925,25925,417,25925,20074,3736,0.15,42470,0.016084860173577627,0.7743105110896817,0.14410800385728062
05073,6277,6277,2099,6277,3627,221,0.106,40262,0.3343954118209336,0.5778238011789071,0.035207901863947746
05075,16258,16258,227,16258,15103,288,0.129,43606,0.013962356993480134,0.928958051420839,0.017714356009349244
05077,8666,8666,4793,8666,3522,253,0.077,33801,0.5530810062312486,0.40641587814447266,0.029194553427186708
05079,13016,13016,3884,13016,8179,581,0.081,50526,0.2984019668100799,0.628380454824831,0.044637369391518134
